datetime,temp,feelslike,humidity,precip,preciptype,windspeed,visibility,cloudcover,uvindex,icon
2011-08-14,19.3,19.3,74.5,0.0,,20.4,14.6,24.4,9,partly-cloudy-day
2011-08-15,20.2,20.1,70.1,0.0,,7.1,15.6,16.0,9,clear-day
2011-08-16,21.9,21.9,65.9,0.0,,24.7,15.0,10.8,9,clear-day
2011-08-17,22.8,23.0,69.9,1.182,rain,11.2,15.9,45.3,7,rain
2011-08-18,20.2,20.1,68.2,0.0,,6.1,15.2,17.4,9,clear-day
2011-08-19,22.8,23.2,69.8,0.0,,12.0,15.9,18.2,7,clear-day
2011-08-20,21.5,21.5,72.6,9.513,rain,12.3,15.1,53.8,5,rain
2011-08-21,20.1,20.1,64.7,0.0,,17.2,16.0,48.5,9,partly-cloudy-day
2011-08-22,20.2,20.2,69.8,0.0,,14.0,15.4,37.0,9,partly-cloudy-day
2011-08-23,22.0,22.0,77.3,14.405,rain,24.7,15.1,61.5,7,rain
2011-08-24,25.0,25.3,65.5,0.0,,26.0,13.4,29.6,8,partly-cloudy-day
2011-08-25,21.1,21.1,64.4,0.0,,14.1,16.0,3.5,9,clear-day
2011-08-26,22.0,22.1,71.6,0.0,,15.6,15.9,6.0,7,clear-day
2011-08-27,22.0,22.1,73.0,0.0,,16.1,15.9,31.3,9,partly-cloudy-day
2011-08-28,18.2,18.2,68.3,0.0,,13.0,15.9,34.0,9,partly-cloudy-day
2011-08-29,18.8,18.8,64.7,0.0,,8.5,16.0,14.2,9,clear-day
2011-08-30,18.4,18.4,76.0,2.435,rain,13.7,15.2,44.1,4,rain
2011-08-31,21.7,22.0,77.8,1.582,rain,20.0,14.3,50.3,8,rain
2011-09-01,25.6,27.9,76.0,0.0,,24.8,10.0,9.3,8,clear-day
2011-09-02,26.9,28.2,70.3,1.987,rain,17.6,14.9,39.0,6,rain
2011-09-03,21.4,21.4,91.3,23.058,rain,21.7,12.4,86.9,6,rain
2011-09-04,16.4,16.4,74.5,0.0,,20.0,15.9,59.3,9,partly-cloudy-day
2011-09-05,12.5,12.2,72.6,0.0,,24.2,16.0,31.1,9,partly-cloudy-day
2011-09-06,12.5,12.4,72.7,0.0,,15.3,15.7,15.4,9,clear-day
2011-09-07,13.9,13.8,69.3,0.0,,24.8,14.2,4.8,9,clear-day
2011-09-08,17.3,17.3,70.2,0.0,,27.6,16.0,12.2,8,clear-day
2011-09-09,18.0,18.0,72.9,0.0,,21.8,15.8,31.4,8,partly-cloudy-day
2011-09-10,19.3,19.2,71.0,0.0,,14.5,14.8,20.2,8,partly-cloudy-day
2011-09-11,20.6,20.6,70.4,0.0,,14.3,13.0,13.2,8,clear-day
2011-09-12,23.3,23.3,64.8,0.0,,23.5,15.8,20.5,8,partly-cloudy-day
2011-09-13,17.7,17.7,59.9,0.0,,24.3,16.0,9.1,8,clear-day
2011-09-14,11.0,10.9,61.0,0.0,,25.7,16.0,19.9,7,clear-day
2011-09-15,7.9,6.8,62.9,0.0,,18.2,16.0,8.0,8,clear-day
2011-09-16,9.3,9.3,69.8,0.0,,12.8,16.0,57.3,5,partly-cloudy-day
2011-09-17,13.1,13.1,70.4,0.0,,25.5,13.8,81.5,8,partly-cloudy-day
2011-09-18,14.5,14.5,83.4,8.061,rain,20.4,9.7,99.9,6,rain
2011-09-19,16.2,16.2,82.2,3.444,rain,14.6,12.9,60.8,8,rain
2011-09-20,16.6,16.6,70.1,0.0,,32.9,14.5,37.8,8,partly-cloudy-day
2011-09-21,15.6,15.6,63.2,0.0,,22.5,16.0,70.8,7,partly-cloudy-day
2011-09-22,12.2,12.2,71.5,0.0,,14.9,15.6,91.8,7,cloudy
2011-09-23,8.6,8.6,81.8,0.0,,11.8,15.8,71.0,6,partly-cloudy-day
2011-09-24,9.6,9.4,83.6,0.0,,23.6,11.2,68.1,5,partly-cloudy-day
2011-09-25,11.9,11.6,89.6,9.953,rain,17.5,13.3,89.1,4,rain
2011-09-26,13.3,13.3,84.3,28.804,rain,42.7,10.6,91.3,3,rain
2011-09-27,13.7,13.7,83.9,1.459,rain,22.4,13.7,84.7,5,rain
2011-09-28,14.3,14.2,76.7,0.003,rain,12.9,11.7,52.9,7,rain
2011-09-29,12.7,12.7,83.0,4.954,rain,36.9,12.6,65.9,7,rain
2011-09-30,10.4,9.0,61.3,0.288,rain,35.0,16.0,40.2,7,rain
2011-10-01,7.1,6.0,72.6,0.0,,14.6,15.9,5.2,7,clear-day
2011-10-02,9.1,9.1,69.4,0.0,,9.4,14.0,1.8,7,clear-day
2011-10-03,13.1,13.1,70.0,0.0,,14.4,15.9,0.0,7,clear-day
2011-10-04,13.7,13.7,69.4,0.0,,12.8,14.3,6.4,7,clear-day
2011-10-05,15.7,15.7,64.6,0.0,,17.8,14.8,0.0,7,clear-day
2011-10-06,17.1,17.1,64.8,0.0,,20.4,13.8,0.0,7,clear-day
2011-10-07,20.8,20.8,55.8,0.0,,33.3,16.0,1.1,7,clear-day
2011-10-08,21.4,21.3,53.7,0.0,,20.6,16.0,0.0,7,clear-day
2011-10-09,17.6,17.6,65.2,0.0,,18.2,16.0,5.3,7,clear-day
2011-10-10,16.5,16.5,66.3,0.0,,20.3,13.3,7.3,6,clear-day
2011-10-11,18.6,18.6,68.0,0.006,rain,23.8,15.7,60.4,6,rain
2011-10-12,15.9,15.9,85.7,6.3,rain,19.3,9.7,82.7,5,rain
2011-10-13,15.0,15.0,82.8,17.638,rain,18.5,11.0,78.6,5,rain
2011-10-14,11.1,10.5,62.0,0.0,,29.0,16.0,37.5,6,partly-cloudy-day
2011-10-15,11.6,10.7,52.8,0.48,rain,29.7,16.0,36.6,7,rain
2011-10-16,11.6,11.5,53.6,0.0,,26.1,16.0,58.9,7,partly-cloudy-day
2011-10-17,9.6,8.5,47.1,0.0,,23.3,16.0,1.1,4,clear-day
2011-10-18,7.1,5.9,64.1,0.0,,20.8,16.0,56.0,4,partly-cloudy-day
2011-10-19,6.9,3.1,70.2,0.0,,38.1,15.9,89.6,5,partly-cloudy-day
2011-10-20,6.9,3.4,62.5,0.0,,34.4,16.0,87.1,6,partly-cloudy-day
2011-10-21,5.9,5.2,64.5,0.0,,12.9,16.0,8.7,6,clear-day
2011-10-22,8.0,7.9,65.2,0.0,,10.6,15.9,4.3,6,clear-day
2011-10-23,9.0,9.0,73.2,5.178,rain,14.3,14.8,61.9,4,rain
2011-10-24,10.2,9.6,69.3,0.0,,20.9,16.0,12.5,6,clear-day
2011-10-25,12.0,11.4,72.5,0.695,rain,26.3,15.1,79.6,4,rain
2011-10-26,6.7,4.1,78.0,0.0,,27.2,15.1,76.8,3,partly-cloudy-day
2011-10-27,5.5,5.2,74.3,0.291,rain,13.8,15.9,55.2,4,rain
2011-10-28,4.7,4.5,72.8,0.534,rain,23.2,12.7,36.3,6,rain
2011-10-29,3.8,3.3,67.9,0.0,,11.2,13.6,25.6,5,partly-cloudy-day
2011-10-30,7.2,4.8,62.9,0.707,rain,25.7,15.9,88.2,5,rain
2011-10-31,6.8,6.0,72.3,0.0,,10.8,16.0,86.1,4,partly-cloudy-day
2011-11-01,9.6,8.5,66.9,0.0,,25.5,14.6,21.0,5,partly-cloudy-day
2011-11-02,8.9,7.0,77.8,19.73,rain,30.2,12.1,95.5,1,rain
2011-11-03,4.6,1.5,81.5,0.064,rain,31.9,16.0,40.6,3,rain
2011-11-04,3.2,2.5,76.1,0.0,,15.3,15.6,0.9,5,clear-day
2011-11-05,6.9,4.7,69.7,0.0,,27.5,15.7,1.1,5,clear-day
2011-11-06,11.3,10.2,70.6,0.0,,27.4,15.4,45.1,2,partly-cloudy-day
2011-11-07,7.4,7.2,60.7,0.0,,11.6,15.5,6.0,5,clear-day
2011-11-08,5.4,1.8,84.1,20.846,rain,27.0,10.8,99.9,1,rain
2011-11-09,2.8,-1.9,88.7,27.781,"rain,snow",36.7,8.0,79.3,2,rain
2011-11-10,1.5,-1.6,75.8,0.242,"rain,snow",17.3,13.5,78.3,3,rain
2011-11-11,2.3,-0.5,67.7,0.0,,23.9,16.0,27.6,5,partly-cloudy-day
2011-11-12,7.3,6.4,68.4,0.0,,30.8,15.8,4.7,5,clear-day
2011-11-13,11.6,10.7,71.3,0.0,,24.1,16.0,43.5,5,partly-cloudy-day
2011-11-14,7.7,6.9,69.0,0.268,rain,23.8,15.8,41.5,4,rain
2011-11-15,7.2,5.7,57.4,0.0,,27.5,16.0,17.5,5,clear-day
2011-11-16,1.4,-2.3,45.1,0.0,,24.0,16.0,4.8,5,clear-day
2011-11-17,-2.4,-6.4,51.7,0.0,,24.2,16.0,6.9,5,clear-day
2011-11-18,4.4,0.5,44.9,0.0,,32.2,16.0,5.4,3,clear-day
